,,,Layout Example,,,,,,,,,,,,,,,
,,,component#1,,component#2,,,,,,,,,,,,,
,,,a,,w,,,,,,,,,,,,,
,,,b,,x,,,,,,,,,,,,,
,,,c,,y,,,,,,,,,,,,,
,,,d,,z,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
MP Opt-RT,,MP Opt_RDK-RT,,MP Opt-WT,,MP Opt_RDK-WT,,Greenness,,Metal-Binding,,,,,,,,
2-hydroxyethyl(trimethyl)azanium;chloride,propanedioic acid,"(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol",decanoic acid,hexadecan-1-ol,5-methyl-2-propan-2-ylphenol,Glutaric Acid,[N2222]Br,2-(trimethylazaniumyl)acetate,"(2R,3R,4R,5S)-hexane-1,2,3,4,5,6-hexol","(4S,4aS,5aS,6S,12aR)-4-(dimethylamino)-1,6,10,11,12a-pentahydroxy-6-methyl-3,12-dioxo-4,4a,5,5a-tetrahydrotetracene-2-carboxamide",,,,,,,,
trioctylphosphine oxide,"(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol",5-methyl-2-propan-2-ylphenol,decanoic acid,octadecan-1-ol,5-methyl-2-propan-2-ylphenol,2-hydroxyethyl(trimethyl)azanium;chloride,"2,3-dimethylphenol","(3S,4R,5R)-2-(hydroxymethyl)oxane-2,3,4,5-tetrol","(3R,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol","(E)-3-(3,4-dihydroxyphenyl)prop-2-enoic acid",,,,,,,,
"1,3-dithiane","1,2,3,4-tetrafluoro-5,6-diiodobenzene","(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol",decanoic acid,2-hydroxyethyl(trimethyl)azanium;chloride,hexadecan-1-ol,hexadecanoic acid,tetradecanoic acid,"(3S,4R,5R)-2-(hydroxymethyl)oxane-2,3,4,5-tetrol","(3R,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol","1,10-phenanthroline",,,,,,,,
"(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol",octanoic acid,"(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol",decanoic acid,2-hydroxyethyl(trimethyl)azanium;chloride,hexadecan-1-ol,hexadecanoic acid,tetradecanoic acid,"(3S,4R,5R)-2-(hydroxymethyl)oxane-2,3,4,5-tetrol","(3R,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol",2-hydroxybenzoic acid,,,,,,,,
"(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol",3-phenylpropanoic acid,2-hydroxyethyl(trimethyl)azanium;chloride,2-methylphenol,2-hydroxyethyl(trimethyl)azanium;chloride,N-(4-hydroxyphenyl)acetamide,tetraethylazanium;chloride,dodecanoic acid,"(3S,4R,5R)-2-(hydroxymethyl)oxane-2,3,4,5-tetrol","(3R,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol",(2S)-2-aminobutanedioic acid,,,,,,,,
